,gene_expression,copy_number
HNF1A,0.0285691521967709,0.9027720383090572
CYLD,2.765534746362977,0.9760919427583384
RNF213,4.609400390006429,1.122617530072276
PML,4.1969217338203295,1.0241132057946944
CUL3,5.885574364371426,1.0839038104179106
RAD17,4.000901402741532,1.0727699792819565
FKBP9,5.342696959981934,0.8982177556066012
EML4,3.6507645591169022,0.9031879441246532
BRD4,4.137503523749935,0.9279183524706704
DEK,7.239359850277466,1.0930380879496455
PAX8,3.3015876466031866,1.0839038104179106
BRIP1,3.513490745588118,1.117455921417883
STAT5B,3.618238655595455,1.117455921417883
TSHR,0.0,1.0922849818477964
JAK2,1.15704371014558,0.8975904011509346
FIP1L1,5.631977320238746,0.8843486739371291
BMPR1A,3.998195503153252,1.3616012497034602
HMGA1,10.522777669524576,1.0930380879496455
MAP3K1,2.400537929583729,1.0727699792819565
AXIN2,0.1243281350022017,1.117455921417883
KAT6A,2.9616233282869446,0.8896029824267802
SALL4,0.1890338243900171,1.4981394550934566
FGFR1,3.955126781261366,1.2629452586186074
PPP6C,4.087462841250339,0.8975904011509346
TFE3,5.213736095922801,0.640206468069557
LRIG3,1.8991756304805127,0.9027720383090572
NFKB2,5.848247352704505,1.3616012497034602
TEC,1.4905701304462011,0.8843486739371291
ELF3,6.884475819086485,1.08286402215474
EPS15,4.2861418728343015,1.2878340019277614
USP6,0.0285691521967709,0.905777190078041
ARHGEF10,0.2509615735332188,0.3633209672718478
ATIC,7.317412613764869,1.0839038104179106
HIF1A,6.916237767867771,1.1017808918318492
SRSF3,8.627242032948834,1.0930380879496455
ARHGAP5,4.844988156682612,1.1017808918318492
RPL22,9.044476088338952,0.9149780472702996
TFPT,3.948600847493356,0.92385922946708
PDCD1LG2,0.8318772411916731,0.8975904011509346
GNAS,8.83345938668054,0.932934149675305
CEP89,3.463360885816658,0.918954622281231
ARID1B,3.612352498752662,0.8801047255613742
PLAG1,1.38404980679516,1.0495398996792709
RAC1,7.438791852578261,0.9012826085825484
HOXA11,1.7570232465074596,0.8982177556066012
RANBP17,1.4489009511451278,1.070864743783282
STAG1,3.3476656563009706,1.0735932810752538
GRM3,0.1110313123887439,1.5802769799997352
SPECC1,4.134220939760634,0.905777190078041
NBN,4.491211756003092,1.04509909044499
NFIB,2.5084286525318573,0.8975904011509346
USP44,0.0426443374084937,0.9027720383090572
SLC34A2,0.3103401206121505,0.8925566418421358
ARID1A,4.101818134227409,0.9138096280203571
COX6C,7.720688885332123,1.04509909044499
EP300,3.381283372503784,0.9147042717921116
SUZ12,4.678635347822744,0.961466264728214
TPM3,8.890507492774354,1.08286402215474
ID3,2.881664619320345,0.9138096280203571
FOXL2,0.5753123306874368,1.0735932810752538
BIRC3,5.838195439259188,1.0915322228400288
LATS1,2.4905701304462013,0.8769650700264217
HMGA2,5.191799501065075,0.9027720383090572
ZNRF3,1.7311832415722,0.9145375933414428
MDM2,3.702657543390911,0.9027720383090572
DDX5,8.208234358339789,1.117455921417883
ASXL2,2.6322682154995127,0.9031879441246532
EIF1AX,6.204571144249203,0.640206468069557
ELF4,4.040892430646901,0.640206468069557
STK11,5.096767854714689,0.9279183524706704
MYC,6.109778429078662,1.0770190804671087
PBRM1,3.7548875021634687,0.902222825924146
NCKIPSD,3.950468414150123,0.902222825924146
PAX7,0.0,0.9138096280203571
BAZ1A,4.282439805006387,1.1017808918318492
HOXD13,0.0,1.0839038104179106
CLIP1,4.963474123974886,0.9027720383090572
BCL7A,2.269033146455237,0.9027720383090572
STAT6,5.489928219405183,0.9027720383090572
CHCHD7,5.115615931428109,1.0495398996792709
RGS7,3.176322772640463,1.08286402215474
SKI,3.140778655782796,1.1457592509605952
